company_id,company_name,dimension,dimension_gap,initiative_id,initiative_name,impact,effort,duration_months,phase,priority_score,description
ENT-027,企业BB,战略与愿景,1.67,I13,AI场景快速验证,4,2,2,基础期,3.34,选择3-5个高价值场景进行POC验证
ENT-027,企业BB,战略与愿景,1.67,I01,制定AI战略白皮书,4,2,3,基础期,3.34,明确AI愿景、目标和KPI，获得高管共识
ENT-048,企业BW,战略与愿景,1.67,I01,制定AI战略白皮书,4,2,3,基础期,3.34,明确AI愿景、目标和KPI，获得高管共识
ENT-048,企业BW,战略与愿景,1.67,I13,AI场景快速验证,4,2,2,基础期,3.34,选择3-5个高价值场景进行POC验证
ENT-028,企业BC,战略与愿景,1.63,I01,制定AI战略白皮书,4,2,3,基础期,3.26,明确AI愿景、目标和KPI，获得高管共识
ENT-028,企业BC,战略与愿景,1.63,I13,AI场景快速验证,4,2,2,基础期,3.26,选择3-5个高价值场景进行POC验证
ENT-037,企业BL,战略与愿景,1.57,I01,制定AI战略白皮书,4,2,3,基础期,3.14,明确AI愿景、目标和KPI，获得高管共识
ENT-023,企业AX,战略与愿景,1.57,I13,AI场景快速验证,4,2,2,基础期,3.14,选择3-5个高价值场景进行POC验证
ENT-037,企业BL,战略与愿景,1.57,I13,AI场景快速验证,4,2,2,基础期,3.14,选择3-5个高价值场景进行POC验证
ENT-023,企业AX,战略与愿景,1.57,I01,制定AI战略白皮书,4,2,3,基础期,3.14,明确AI愿景、目标和KPI，获得高管共识
ENT-014,企业AO,战略与愿景,1.54,I01,制定AI战略白皮书,4,2,3,基础期,3.08,明确AI愿景、目标和KPI，获得高管共识
ENT-014,企业AO,战略与愿景,1.54,I13,AI场景快速验证,4,2,2,基础期,3.08,选择3-5个高价值场景进行POC验证
ENT-005,企业AF,战略与愿景,1.5,I13,AI场景快速验证,4,2,2,基础期,3.0,选择3-5个高价值场景进行POC验证
ENT-020,企业AU,战略与愿景,1.5,I13,AI场景快速验证,4,2,2,基础期,3.0,选择3-5个高价值场景进行POC验证
ENT-042,企业BQ,战略与愿景,1.5,I13,AI场景快速验证,4,2,2,基础期,3.0,选择3-5个高价值场景进行POC验证
ENT-005,企业AF,战略与愿景,1.5,I01,制定AI战略白皮书,4,2,3,基础期,3.0,明确AI愿景、目标和KPI，获得高管共识
ENT-020,企业AU,战略与愿景,1.5,I01,制定AI战略白皮书,4,2,3,基础期,3.0,明确AI愿景、目标和KPI，获得高管共识
ENT-042,企业BQ,战略与愿景,1.5,I01,制定AI战略白皮书,4,2,3,基础期,3.0,明确AI愿景、目标和KPI，获得高管共识
ENT-003,企业AD,战略与愿景,1.47,I01,制定AI战略白皮书,4,2,3,基础期,2.94,明确AI愿景、目标和KPI，获得高管共识
ENT-003,企业AD,战略与愿景,1.47,I13,AI场景快速验证,4,2,2,基础期,2.94,选择3-5个高价值场景进行POC验证
ENT-049,企业BX,战略与愿景,1.47,I13,AI场景快速验证,4,2,2,基础期,2.94,选择3-5个高价值场景进行POC验证
ENT-049,企业BX,战略与愿景,1.47,I01,制定AI战略白皮书,4,2,3,基础期,2.94,明确AI愿景、目标和KPI，获得高管共识
ENT-025,企业AZ,战略与愿景,1.4,I01,制定AI战略白皮书,4,2,3,基础期,2.8,明确AI愿景、目标和KPI，获得高管共识
ENT-025,企业AZ,战略与愿景,1.4,I13,AI场景快速验证,4,2,2,基础期,2.8,选择3-5个高价值场景进行POC验证
ENT-027,企业BB,战略与愿景,1.67,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.78,建立跨职能AI团队，统筹全公司AI推进
ENT-048,企业BW,战略与愿景,1.67,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.78,建立跨职能AI团队，统筹全公司AI推进
ENT-015,企业AP,战略与愿景,1.37,I01,制定AI战略白皮书,4,2,3,基础期,2.74,明确AI愿景、目标和KPI，获得高管共识
ENT-015,企业AP,战略与愿景,1.37,I13,AI场景快速验证,4,2,2,基础期,2.74,选择3-5个高价值场景进行POC验证
ENT-028,企业BC,战略与愿景,1.63,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.72,建立跨职能AI团队，统筹全公司AI推进
ENT-037,企业BL,战略与愿景,1.57,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.62,建立跨职能AI团队，统筹全公司AI推进
ENT-023,企业AX,战略与愿景,1.57,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.62,建立跨职能AI团队，统筹全公司AI推进
ENT-033,企业BH,战略与愿景,1.3,I13,AI场景快速验证,4,2,2,基础期,2.6,选择3-5个高价值场景进行POC验证
ENT-033,企业BH,战略与愿景,1.3,I01,制定AI战略白皮书,4,2,3,基础期,2.6,明确AI愿景、目标和KPI，获得高管共识
ENT-014,企业AO,战略与愿景,1.54,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.57,建立跨职能AI团队，统筹全公司AI推进
ENT-003,企业AD,人才与组织,1.7,I08,全员AI素养培训,3,2,3,建设期,2.55,分层次开展AI认知、工具使用、场景创新培训
ENT-010,企业AK,治理与伦理,1.7,I15,AI伦理审查委员会,3,2,3,优化期,2.55,组建跨部门伦理审查团队，定期审核AI应用
ENT-029,企业BD,战略与愿景,1.27,I13,AI场景快速验证,4,2,2,基础期,2.54,选择3-5个高价值场景进行POC验证
ENT-029,企业BD,战略与愿景,1.27,I01,制定AI战略白皮书,4,2,3,基础期,2.54,明确AI愿景、目标和KPI，获得高管共识
ENT-042,企业BQ,战略与愿景,1.5,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.5,建立跨职能AI团队，统筹全公司AI推进
ENT-006,企业AG,治理与伦理,1.67,I15,AI伦理审查委员会,3,2,3,优化期,2.5,组建跨部门伦理审查团队，定期审核AI应用
ENT-005,企业AF,战略与愿景,1.5,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.5,建立跨职能AI团队，统筹全公司AI推进
ENT-020,企业AU,战略与愿景,1.5,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.5,建立跨职能AI团队，统筹全公司AI推进
ENT-046,企业BU,治理与伦理,1.67,I15,AI伦理审查委员会,3,2,3,优化期,2.5,组建跨部门伦理审查团队，定期审核AI应用
ENT-012,企业AM,战略与愿景,1.24,I01,制定AI战略白皮书,4,2,3,基础期,2.48,明确AI愿景、目标和KPI，获得高管共识
ENT-012,企业AM,战略与愿景,1.24,I13,AI场景快速验证,4,2,2,基础期,2.48,选择3-5个高价值场景进行POC验证
ENT-016,企业AQ,战略与愿景,1.24,I13,AI场景快速验证,4,2,2,基础期,2.48,选择3-5个高价值场景进行POC验证
ENT-016,企业AQ,战略与愿景,1.24,I01,制定AI战略白皮书,4,2,3,基础期,2.48,明确AI愿景、目标和KPI，获得高管共识
ENT-049,企业BX,战略与愿景,1.47,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.45,建立跨职能AI团队，统筹全公司AI推进
ENT-003,企业AD,战略与愿景,1.47,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.45,建立跨职能AI团队，统筹全公司AI推进
ENT-019,企业AT,治理与伦理,1.63,I15,AI伦理审查委员会,3,2,3,优化期,2.44,组建跨部门伦理审查团队，定期审核AI应用
ENT-006,企业AG,人才与组织,1.63,I08,全员AI素养培训,3,2,3,建设期,2.44,分层次开展AI认知、工具使用、场景创新培训
ENT-017,企业AR,战略与愿景,1.2,I01,制定AI战略白皮书,4,2,3,基础期,2.4,明确AI愿景、目标和KPI，获得高管共识
ENT-017,企业AR,战略与愿景,1.2,I13,AI场景快速验证,4,2,2,基础期,2.4,选择3-5个高价值场景进行POC验证
ENT-049,企业BX,治理与伦理,1.6,I15,AI伦理审查委员会,3,2,3,优化期,2.4,组建跨部门伦理审查团队，定期审核AI应用
ENT-049,企业BX,人才与组织,1.6,I08,全员AI素养培训,3,2,3,建设期,2.4,分层次开展AI认知、工具使用、场景创新培训
ENT-015,企业AP,数据基础,1.9,I03,数据质量治理项目,5,4,6,基础期,2.38,建立数据质量标准和清洗流程
ENT-047,企业BV,战略与愿景,1.17,I01,制定AI战略白皮书,4,2,3,基础期,2.34,明确AI愿景、目标和KPI，获得高管共识
ENT-024,企业AY,战略与愿景,1.17,I01,制定AI战略白皮书,4,2,3,基础期,2.34,明确AI愿景、目标和KPI，获得高管共识
ENT-024,企业AY,战略与愿景,1.17,I13,AI场景快速验证,4,2,2,基础期,2.34,选择3-5个高价值场景进行POC验证
ENT-015,企业AP,人才与组织,1.56,I08,全员AI素养培训,3,2,3,建设期,2.34,分层次开展AI认知、工具使用、场景创新培训
ENT-047,企业BV,战略与愿景,1.17,I13,AI场景快速验证,4,2,2,基础期,2.34,选择3-5个高价值场景进行POC验证
ENT-025,企业AZ,战略与愿景,1.4,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.33,建立跨职能AI团队，统筹全公司AI推进
ENT-024,企业AY,治理与伦理,1.53,I15,AI伦理审查委员会,3,2,3,优化期,2.3,组建跨部门伦理审查团队，定期审核AI应用
ENT-015,企业AP,战略与愿景,1.37,I02,成立AI卓越中心(CoE),5,3,4,基础期,2.28,建立跨职能AI团队，统筹全公司AI推进
ENT-010,企业AK,治理与伦理,1.7,I09,建立AI治理框架,4,3,4,建设期,2.27,制定AI使用规范、审核流程和责任机制
ENT-003,企业AD,人才与组织,1.7,I07,AI人才引进计划,4,3,4,基础期,2.27,招募数据科学家、ML工程师等核心人才
